[2026-07-13T21:25:55.430Z] GET http://localhost:8797/deck/site/index.html → 200 (9ms, 12647B)
[2026-07-13T21:25:55.449Z] GET https://fonts.googleapis.com/css2?family=Podkova:wght@400;500;600;700;800&family=Inter:ital,wght@0,400;0,500;0,600;0,700;1,400&display=swap → 200 (102ms, 1565B)
[2026-07-13T21:25:55.449Z] GET http://localhost:8797/deck/site/site.css?v=1 → 200 (14ms, 17237B)
[2026-07-13T21:25:55.449Z] GET http://localhost:8797/deck/assets/img/pd-logo.jpg → 200 (14ms, 18619B)
[2026-07-13T21:25:55.449Z] GET http://localhost:8797/deck/site/assets/img/hero-navy.jpg → 404 (10ms, 285B)
[2026-07-13T21:25:55.449Z] GET http://localhost:8797/deck/assets/img/tutu-white.jpg → 200 (15ms, 599398B)
[2026-07-13T21:25:55.449Z] GET http://localhost:8797/deck/assets/img/leap-denim.jpg → 200 (16ms, 500412B)
[2026-07-13T21:25:55.449Z] GET http://localhost:8797/deck/assets/img/instr-lori.jpg → 200 (16ms, 45989B)
[2026-07-13T21:25:55.449Z] GET http://localhost:8797/deck/assets/img/instr-erin.jpg → 200 (16ms, 24601B)
[2026-07-13T21:25:55.449Z] GET http://localhost:8797/deck/assets/img/instr-chadd.jpg → 200 (16ms, 57378B)
[2026-07-13T21:25:55.449Z] GET http://localhost:8797/deck/assets/img/instr-roberta.jpg → 200 (16ms, 50668B)
[2026-07-13T21:25:55.449Z] GET http://localhost:8797/deck/assets/img/ba-ediface-after.jpg → 200 (16ms, 574240B)
[2026-07-13T21:25:55.449Z] GET http://localhost:8797/deck/assets/img/ba-studio-after.jpg → 200 (17ms, 504824B)
[2026-07-13T21:25:55.449Z] GET http://localhost:8797/deck/assets/img/ba-trophy-after.jpg → 200 (17ms, 790877B)
[2026-07-13T21:25:55.449Z] GET http://localhost:8797/deck/assets/img/scorpion-black.jpg → 200 (17ms, 921918B)
[2026-07-13T21:25:55.468Z] GET http://localhost:8797/deck/assets/video/hero-loop.mp4 → 200 (2ms, 3064935B)
[2026-07-13T21:25:55.586Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (146ms, 48983B)
[2026-07-13T21:25:55.586Z] GET https://fonts.gstatic.com/s/podkova/v33/K2FxfZ1EmftJSV9VaJnzJ6CiDyo.woff2 → 200 (146ms, 25459B)
[2026-07-13T21:25:57.543Z] GET http://localhost:8797/deck/site/classes.html → 200 (1ms, 11887B)
[2026-07-13T21:25:57.548Z] GET https://fonts.googleapis.com/css2?family=Podkova:wght@400;500;600;700;800&family=Inter:ital,wght@0,400;0,500;0,600;0,700;1,400&display=swap → 200 (?ms, -743B)
[2026-07-13T21:25:57.548Z] GET http://localhost:8797/deck/site/site.css?v=1 → 200 (?ms, -186B)
[2026-07-13T21:25:57.548Z] GET http://localhost:8797/deck/assets/img/pd-logo.jpg → 200 (?ms, -188B)
[2026-07-13T21:25:57.551Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-07-13T21:25:57.551Z] GET https://fonts.gstatic.com/s/podkova/v33/K2FxfZ1EmftJSV9VaJnzJ6CiDyo.woff2 → 200 (?ms, -815B)
[2026-07-13T21:25:59.132Z] GET http://localhost:8797/deck/site/enroll.html → 200 (1ms, 8037B)
[2026-07-13T21:25:59.136Z] GET https://fonts.googleapis.com/css2?family=Podkova:wght@400;500;600;700;800&family=Inter:ital,wght@0,400;0,500;0,600;0,700;1,400&display=swap → 200 (?ms, -743B)
[2026-07-13T21:25:59.136Z] GET http://localhost:8797/deck/site/site.css?v=1 → 200 (?ms, -186B)
[2026-07-13T21:25:59.136Z] GET http://localhost:8797/deck/assets/img/pd-logo.jpg → 200 (?ms, -188B)
[2026-07-13T21:25:59.136Z] GET http://localhost:8797/deck/assets/img/instr-lori.jpg → 200 (?ms, -188B)
[2026-07-13T21:25:59.144Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-07-13T21:25:59.144Z] GET https://fonts.gstatic.com/s/podkova/v33/K2FxfZ1EmftJSV9VaJnzJ6CiDyo.woff2 → 200 (?ms, -815B)
[2026-07-13T21:26:00.689Z] GET http://localhost:8797/deck/site/about.html → 200 (1ms, 41835B)
[2026-07-13T21:26:00.694Z] GET https://fonts.googleapis.com/css2?family=Podkova:wght@400;500;600;700;800&family=Inter:ital,wght@0,400;0,500;0,600;0,700;1,400&display=swap → 200 (?ms, -743B)
[2026-07-13T21:26:00.696Z] GET http://localhost:8797/deck/site/site.css?v=1 → 200 (?ms, -186B)
[2026-07-13T21:26:00.696Z] GET http://localhost:8797/deck/assets/img/pd-logo.jpg → 200 (?ms, -188B)
[2026-07-13T21:26:00.696Z] GET http://localhost:8797/deck/assets/img/ba-studio-after.jpg → 200 (4ms, -189B)
[2026-07-13T21:26:00.696Z] GET http://localhost:8797/deck/assets/img/bios/lori-murphy.jpg → 200 (4ms, 34431B)
[2026-07-13T21:26:00.697Z] GET http://localhost:8797/deck/assets/img/bios/alana-barasorda.jpg → 200 (6ms, 41035B)
[2026-07-13T21:26:00.697Z] GET http://localhost:8797/deck/assets/img/bios/jennifer-beith.jpg → 200 (7ms, 39692B)
[2026-07-13T21:26:00.697Z] GET http://localhost:8797/deck/assets/img/bios/calista-bennett.jpg → 200 (6ms, 42235B)
[2026-07-13T21:26:00.697Z] GET http://localhost:8797/deck/assets/img/bios/kristen-canady.jpg → 200 (6ms, 51296B)
[2026-07-13T21:26:00.697Z] GET http://localhost:8797/deck/assets/img/bios/pili-doheny.jpg → 200 (7ms, 40631B)
[2026-07-13T21:26:00.697Z] GET http://localhost:8797/deck/assets/img/bios/gracie-gunawan.jpg → 200 (7ms, 44194B)
[2026-07-13T21:26:00.697Z] GET http://localhost:8797/deck/assets/img/bios/erika-hodge.jpg → 200 (8ms, 52565B)
[2026-07-13T21:26:00.698Z] GET http://localhost:8797/deck/assets/img/bios/pierce-johnson.jpg → 200 (7ms, 42758B)
[2026-07-13T21:26:00.698Z] GET http://localhost:8797/deck/assets/img/bios/roberta-kay.jpg → 200 (7ms, 40344B)
[2026-07-13T21:26:00.698Z] GET http://localhost:8797/deck/assets/img/bios/chloe-koutroulis.jpg → 200 (7ms, 38101B)
[2026-07-13T21:26:00.698Z] GET http://localhost:8797/deck/assets/img/bios/andrew-medrano.jpg → 200 (12ms, 38848B)
[2026-07-13T21:26:00.698Z] GET http://localhost:8797/deck/assets/img/bios/natasha-miroshnyk.jpg → 200 (12ms, 34660B)
[2026-07-13T21:26:00.698Z] GET http://localhost:8797/deck/assets/img/bios/chadd-moreau.jpg → 200 (12ms, 43759B)
[2026-07-13T21:26:00.698Z] GET http://localhost:8797/deck/assets/img/bios/bridget-nagel.jpg → 200 (13ms, 33187B)
[2026-07-13T21:26:00.699Z] GET http://localhost:8797/deck/assets/img/bios/stacey-orleans.jpg → 200 (12ms, 28807B)
[2026-07-13T21:26:00.699Z] GET http://localhost:8797/deck/assets/img/bios/jeffrey-raschiatore.jpg → 200 (12ms, 37210B)
[2026-07-13T21:26:00.699Z] GET http://localhost:8797/deck/assets/img/bios/courtney-sessions.jpg → 200 (12ms, 61755B)
[2026-07-13T21:26:00.699Z] GET http://localhost:8797/deck/assets/img/bios/bella-valencia.jpg → 200 (12ms, 55826B)
[2026-07-13T21:26:00.699Z] GET http://localhost:8797/deck/assets/img/bios/kendal-villa.jpg → 200 (12ms, 44826B)
[2026-07-13T21:26:00.699Z] GET http://localhost:8797/deck/assets/img/bios/alexa-wade.jpg → 200 (12ms, 26759B)
[2026-07-13T21:26:00.701Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-07-13T21:26:00.701Z] GET https://fonts.gstatic.com/s/podkova/v33/K2FxfZ1EmftJSV9VaJnzJ6CiDyo.woff2 → 200 (1ms, -815B)
[2026-07-13T21:26:02.591Z] GET http://localhost:8797/deck/site/performing-groups.html → 200 (1ms, 5909B)
[2026-07-13T21:26:02.595Z] GET https://fonts.googleapis.com/css2?family=Podkova:wght@400;500;600;700;800&family=Inter:ital,wght@0,400;0,500;0,600;0,700;1,400&display=swap → 200 (1ms, -743B)
[2026-07-13T21:26:02.596Z] GET http://localhost:8797/deck/site/site.css?v=1 → 200 (?ms, -186B)
[2026-07-13T21:26:02.596Z] GET http://localhost:8797/deck/assets/img/pd-logo.jpg → 200 (?ms, -188B)
[2026-07-13T21:26:02.597Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-07-13T21:26:02.597Z] GET https://fonts.gstatic.com/s/podkova/v33/K2FxfZ1EmftJSV9VaJnzJ6CiDyo.woff2 → 200 (?ms, -815B)
[2026-07-13T21:26:04.109Z] GET http://localhost:8797/deck/site/recital.html → 200 (1ms, 6347B)
[2026-07-13T21:26:04.113Z] GET https://fonts.googleapis.com/css2?family=Podkova:wght@400;500;600;700;800&family=Inter:ital,wght@0,400;0,500;0,600;0,700;1,400&display=swap → 200 (?ms, -743B)
[2026-07-13T21:26:04.113Z] GET http://localhost:8797/deck/site/site.css?v=1 → 200 (?ms, -186B)
[2026-07-13T21:26:04.113Z] GET http://localhost:8797/deck/assets/img/pd-logo.jpg → 200 (?ms, -188B)
[2026-07-13T21:26:04.113Z] GET http://localhost:8797/deck/assets/img/scorpion-black.jpg → 200 (?ms, -189B)
[2026-07-13T21:26:04.114Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-07-13T21:26:04.114Z] GET https://fonts.gstatic.com/s/podkova/v33/K2FxfZ1EmftJSV9VaJnzJ6CiDyo.woff2 → 200 (1ms, -815B)
[2026-07-13T21:26:05.759Z] GET http://localhost:8797/deck/site/policies.html → 200 (1ms, 8310B)
[2026-07-13T21:26:05.762Z] GET https://fonts.googleapis.com/css2?family=Podkova:wght@400;500;600;700;800&family=Inter:ital,wght@0,400;0,500;0,600;0,700;1,400&display=swap → 200 (?ms, -743B)
[2026-07-13T21:26:05.763Z] GET http://localhost:8797/deck/site/site.css?v=1 → 200 (?ms, -186B)
[2026-07-13T21:26:05.763Z] GET http://localhost:8797/deck/assets/img/pd-logo.jpg → 200 (?ms, -188B)
[2026-07-13T21:26:05.765Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-07-13T21:26:05.765Z] GET https://fonts.gstatic.com/s/podkova/v33/K2FxfZ1EmftJSV9VaJnzJ6CiDyo.woff2 → 200 (?ms, -815B)
[2026-07-13T21:26:07.305Z] GET http://localhost:8797/deck/site/contact.html → 200 (1ms, 5837B)
[2026-07-13T21:26:07.309Z] GET https://fonts.googleapis.com/css2?family=Podkova:wght@400;500;600;700;800&family=Inter:ital,wght@0,400;0,500;0,600;0,700;1,400&display=swap → 200 (?ms, -743B)
[2026-07-13T21:26:07.309Z] GET http://localhost:8797/deck/site/site.css?v=1 → 200 (?ms, -186B)
[2026-07-13T21:26:07.309Z] GET http://localhost:8797/deck/assets/img/pd-logo.jpg → 200 (1ms, -188B)
[2026-07-13T21:26:07.311Z] GET https://www.google.com/maps?q=4880+Irvine+Blvd+Suite+101,+Irvine,+CA+92620&output=embed → 301 (71ms, ?B)
[2026-07-13T21:26:07.312Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-07-13T21:26:07.312Z] GET https://fonts.gstatic.com/s/podkova/v33/K2FxfZ1EmftJSV9VaJnzJ6CiDyo.woff2 → 200 (?ms, -815B)
[2026-07-13T21:26:07.382Z] GET https://www.google.com/maps/embed?origin=mfe&pb=!1m2!2m1!1s4880+Irvine+Blvd+Suite+101,+Irvine,+CA+92620 → 200 (304ms, 1378B)
[2026-07-13T21:26:07.696Z] GET https://maps.gstatic.com/maps-api-v3/embed/js/65/6a/init_embed.js → 200 (122ms, 75252B)
